,Name,Rating,Review Count,Street Address,Zip Code,Url,Latitude,Longitude
0,Jun-Men Ramen Bar,4,620,249 9th Ave,10001,https://www.yelp.com/biz/jun-men-ramen-bar-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.748209,-74.00047
1,Fuyu Ramen,4.5,123,4617 Queens Blvd,11104,https://www.yelp.com/biz/fuyu-ramen-sunnyside-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.743478,-73.918057
2,Kesté Pizza & Vino,4,1406,271 Bleecker St,10014,https://www.yelp.com/biz/kest%C3%A9-pizza-and-vino-new-york-5?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.73154,-74.00293
3,Ashoka on 2nd Avenue,4.5,144,1718 2nd Ave,10128,https://www.yelp.com/biz/ashoka-on-2nd-avenue-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7798555,-73.9500904
4,Craft House,4.5,330,60 Vanduzer St,10301,https://www.yelp.com/biz/craft-house-tompkinsville-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.636373,-74.077543
5,Print,4,889,653 11th Ave,10036,https://www.yelp.com/biz/print-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.76452,-73.99586
6,Sushi Yasuda,4,2123,204 E 43rd St,10017,https://www.yelp.com/biz/sushi-yasuda-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.75113,-73.97347
7,Hatsuhana Sushi Restaurant,4,1343,17 E 48th St,10017,https://www.yelp.com/biz/hatsuhana-sushi-restaurant-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.75703,-73.97692
8,Jaew Hon New York,4.5,177,71-30 Roosevelt Ave,11372,https://www.yelp.com/biz/jaew-hon-new-york-jackson-heights?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7464487,-73.8938216
9,Cafe Dolma,4.5,73,270 Grand St,7302,https://www.yelp.com/biz/cafe-dolma-jersey-city-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.71635,-74.04592
10,Oscar's Place,4.5,202,466 Hudson St,10014,https://www.yelp.com/biz/oscars-place-new-york-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7318649,-74.0064011
11,Osteria 106,4.5,124,53 W 106 St,10025,https://www.yelp.com/biz/osteria-106-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.79894,-73.96174
12,Oxalis,4.5,120,791 Washington Ave,11238,https://www.yelp.com/biz/oxalis-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.673109,-73.9626279
13,Bleecker Street Pizza,4,2363,69 7th Ave S,10014,https://www.yelp.com/biz/bleecker-street-pizza-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7320627,-74.00365523
14,The Honey Well,4.5,182,3604 Broadway,10031,https://www.yelp.com/biz/the-honey-well-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.82849,-73.94862
15,Louie & Ernie's Pizza,4.5,286,1300 Crosby Ave,10461,https://www.yelp.com/biz/louie-and-ernies-pizza-bronx-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.838288,-73.828563
16,The Jeffrey Craft Beer & Bites,4,678,311 E 60th St,10022,https://www.yelp.com/biz/the-jeffrey-craft-beer-and-bites-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7611,-73.963
17,ICHIRAN - Times Square,4.5,354,152 W 49th St,10019,https://www.yelp.com/biz/ichiran-times-square-new-york-4?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.76004,-73.9833
18,Hoja Santa,4.5,47,40-17 30th Ave,11103,https://www.yelp.com/biz/hoja-santa-astoria?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7638197,-73.914523
19,Kitchen Grill Indian Restaurant,4.5,257,914A Fulton St,11238,https://www.yelp.com/biz/kitchen-grill-indian-restaurant-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.6827929,-73.9644377
20,The Greats Of Craft,4.5,47,983 1st Ave,10022,https://www.yelp.com/biz/the-greats-of-craft-new-york-3?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7563277,-73.964548
21,Maestro Pasta,4.5,67,45 John St,10038,https://www.yelp.com/biz/maestro-pasta-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.709329,-74.007891
22,Ramen Danbo,4.5,214,52 7th Ave,11217,https://www.yelp.com/biz/ramen-danbo-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.67611996,-73.97451997
23,Samurai Papa,4.5,270,32 Varet St,11206,https://www.yelp.com/biz/samurai-papa-brooklyn-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.70289207,-73.9435884
24,Ma Kin,4.5,64,7419 Metropolitan Ave,11379,https://www.yelp.com/biz/ma-kin-middle-village-3?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7130368,-73.8775219
25,Frijolito's,4.5,142,3446 Broadway,10031,https://www.yelp.com/biz/frijolitos-new-york-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.82346529,-73.95241722
26,Casa Nomad,4.5,61,1204 Broadway,10001,https://www.yelp.com/biz/casa-nomad-new-york-3?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.746293,-73.98825
27,Santa Panza,4.5,160,1079 Broadway,11221,https://www.yelp.com/biz/santa-panza-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.6947,-73.93068
28,Dough Vale,5,42,330 S 3rd St,11211,https://www.yelp.com/biz/dough-vale-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.70933,-73.95407
29,Dil-e Punjab Deli,4.5,194,170 9th Ave,10011,https://www.yelp.com/biz/dil-e-punjab-deli-new-york-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.74482,-74.00206
30,The Shadmoor,4.5,300,1066 2nd Ave,10022,https://www.yelp.com/biz/the-shadmoor-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.75866,-73.9655499
31,Eight Turn Crêpe,4,579,445 Albee Square W,11201,https://www.yelp.com/biz/eight-turn-cr%C3%AApe-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.6912509,-73.9832589
32,Dweebs,4.5,87,1434 Dekalb Ave,11237,https://www.yelp.com/biz/dweebs-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.70037125,-73.92285043
33,Ki Sushi,4,698,122 Smith St,11201,https://www.yelp.com/biz/ki-sushi-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.68764,-73.9901
34,Tabaré,4,640,221 S 1st St,11211,https://www.yelp.com/biz/tabar%C3%A9-brooklyn-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.713046,-73.958968
