,Name,Rating,Review Count,Street Address,Zip Code,Url,Latitude,Longitude
0,The Dolar Shop,4.5,763,36-36 Prince St,11354,https://www.yelp.com/biz/the-dolar-shop-flushing-3?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.761057,-73.83306
1,Black Nile,4.5,194,592 Nostrand Ave,11216,https://www.yelp.com/biz/black-nile-brooklyn-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.67823,-73.94998
2,Cafe Peanut,5.0,61,586 Newark Ave,07306,https://www.yelp.com/biz/cafe-peanut-jersey-city?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.732359,-74.056997
3,Nurish,5.0,61,637 Washington Ave,11238,https://www.yelp.com/biz/nurish-brooklyn-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.67834,-73.96363
4,Nizi Sushi,4.5,512,340 Paterson Ave,07073,https://www.yelp.com/biz/nizi-sushi-east-rutherford?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.8368845110482,-74.099494049349
5,Roots Cafe,4.5,312,639 5th Ave,11215,https://www.yelp.com/biz/roots-cafe-brooklyn-3?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.6628485,-73.9916831
6,Chobani SoHo,4.5,655,152 Prince St,10012,https://www.yelp.com/biz/chobani-soho-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7256895490098,-74.0010523796082
7,Allora Ristorante,4.5,588,145 E 47th St,10017,https://www.yelp.com/biz/allora-ristorante-new-york-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.75433,-73.97277
8,The Rock NYC,4.5,72,92-03 Rockaway Beach Blvd,11693,https://www.yelp.com/biz/the-rock-nyc-rockaway-beach?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.586228,-73.81551
9,Peri Peri Grill House,4.5,155,235 Malcolm X Blvd,11233,https://www.yelp.com/biz/peri-peri-grill-house-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.68474,-73.92916
10,Nish Nush,4.5,297,41 John St,10038,https://www.yelp.com/biz/nish-nush-new-york-5?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.709472,-74.007949
11,Le Fond,4.5,147,105 Norman Ave,11222,https://www.yelp.com/biz/le-fond-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7258415222168,-73.9511032104492
12,Proong Noodle Bar,4.5,147,347 1st Ave,10010,https://www.yelp.com/biz/proong-noodle-bar-new-york-6?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.73528,-73.98003
13,Sonbobs,5.0,45,34-15 28th Ave,11103,https://www.yelp.com/biz/sonbobs-astoria?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7673603,-73.917382
14,Newtown,4.5,142,55 Waterbury St,11206,https://www.yelp.com/biz/newtown-brooklyn-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7091391,-73.9372268
15,Mountain Bird,4.5,196,2162 2nd Ave,10029,https://www.yelp.com/biz/mountain-bird-new-york-4?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7938199,-73.9398521
