Name,street_address,Rating,Num_Reviews,Url
Jun-Men Ramen Bar,249 9th Ave,4.0,620,https://www.yelp.com/biz/jun-men-ramen-bar-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Fuyu Ramen,4617 Queens Blvd,4.5,123,https://www.yelp.com/biz/fuyu-ramen-sunnyside-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Kesté Pizza & Vino,271 Bleecker St,4.0,1406,https://www.yelp.com/biz/kest%C3%A9-pizza-and-vino-new-york-5?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Ashoka on 2nd Avenue,1718 2nd Ave,4.5,144,https://www.yelp.com/biz/ashoka-on-2nd-avenue-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Craft House,60 Vanduzer St,4.5,330,https://www.yelp.com/biz/craft-house-tompkinsville-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Print,653 11th Ave,4.0,889,https://www.yelp.com/biz/print-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Sushi Yasuda,204 E 43rd St,4.0,2123,https://www.yelp.com/biz/sushi-yasuda-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Hatsuhana Sushi Restaurant,17 E 48th St,4.0,1343,https://www.yelp.com/biz/hatsuhana-sushi-restaurant-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Jaew Hon New York,71-30 Roosevelt Ave,4.5,177,https://www.yelp.com/biz/jaew-hon-new-york-jackson-heights?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Cafe Dolma,270 Grand St,4.5,73,https://www.yelp.com/biz/cafe-dolma-jersey-city-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Oscar's Place,466 Hudson St,4.5,202,https://www.yelp.com/biz/oscars-place-new-york-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Osteria 106,53 W 106 St,4.5,124,https://www.yelp.com/biz/osteria-106-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Oxalis,791 Washington Ave,4.5,120,https://www.yelp.com/biz/oxalis-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Bleecker Street Pizza,69 7th Ave S,4.0,2363,https://www.yelp.com/biz/bleecker-street-pizza-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
The Honey Well,3604 Broadway,4.5,182,https://www.yelp.com/biz/the-honey-well-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Louie & Ernie's Pizza,1300 Crosby Ave,4.5,286,https://www.yelp.com/biz/louie-and-ernies-pizza-bronx-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
The Jeffrey Craft Beer & Bites,311 E 60th St,4.0,678,https://www.yelp.com/biz/the-jeffrey-craft-beer-and-bites-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
ICHIRAN - Times Square,152 W 49th St,4.5,354,https://www.yelp.com/biz/ichiran-times-square-new-york-4?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Hoja Santa,40-17 30th Ave,4.5,47,https://www.yelp.com/biz/hoja-santa-astoria?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Kitchen Grill Indian Restaurant,914A Fulton St,4.5,257,https://www.yelp.com/biz/kitchen-grill-indian-restaurant-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
The Greats Of Craft,983 1st Ave,4.5,47,https://www.yelp.com/biz/the-greats-of-craft-new-york-3?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Maestro Pasta,45 John St,4.5,67,https://www.yelp.com/biz/maestro-pasta-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Ramen Danbo,52 7th Ave,4.5,214,https://www.yelp.com/biz/ramen-danbo-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Samurai Papa,32 Varet St,4.5,270,https://www.yelp.com/biz/samurai-papa-brooklyn-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Ma Kin,7419 Metropolitan Ave,4.5,64,https://www.yelp.com/biz/ma-kin-middle-village-3?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Frijolito's,3446 Broadway,4.5,142,https://www.yelp.com/biz/frijolitos-new-york-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Casa Nomad,1204 Broadway,4.5,61,https://www.yelp.com/biz/casa-nomad-new-york-3?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Santa Panza,1079 Broadway,4.5,160,https://www.yelp.com/biz/santa-panza-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Dough Vale,330 S 3rd St,5.0,42,https://www.yelp.com/biz/dough-vale-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Dil-e Punjab Deli,170 9th Ave,4.5,194,https://www.yelp.com/biz/dil-e-punjab-deli-new-york-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
The Shadmoor,1066 2nd Ave,4.5,300,https://www.yelp.com/biz/the-shadmoor-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Eight Turn Crêpe,445 Albee Square W,4.0,579,https://www.yelp.com/biz/eight-turn-cr%C3%AApe-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Dweebs,1434 Dekalb Ave,4.5,87,https://www.yelp.com/biz/dweebs-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Ki Sushi,122 Smith St,4.0,698,https://www.yelp.com/biz/ki-sushi-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Tabaré,221 S 1st St,4.0,640,https://www.yelp.com/biz/tabar%C3%A9-brooklyn-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Sushi By Boū - NoMad,32 E 32nd St,4.5,170,https://www.yelp.com/biz/sushi-by-bo%C5%AB-nomad-new-york-3?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
John's of Bleecker Street,278 Bleecker St,4.0,2036,https://www.yelp.com/biz/johns-of-bleecker-street-new-york-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
KXBURGERBAR,29-04 Ditmars Blvd,4.5,77,https://www.yelp.com/biz/kxburgerbar-astoria?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
POKAY,283 Newark Ave,4.5,102,https://www.yelp.com/biz/pokay-jersey-city?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
My Pie,166 West 72nd St,4.5,152,https://www.yelp.com/biz/my-pie-new-york-5?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Harry's Food And Drink,8101 Bergenline Ave,4.5,143,https://www.yelp.com/biz/harrys-food-and-drink-north-bergen-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Forest Hills Station House,106-11 71st Ave,4.0,1094,https://www.yelp.com/biz/forest-hills-station-house-forest-hills?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Gallaghers Steakhouse,228 W 52nd St,4.0,1200,https://www.yelp.com/biz/gallaghers-steakhouse-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Spice Symphony,182 Lexington Ave,4.0,596,https://www.yelp.com/biz/spice-symphony-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
Sauce Pizzeria,345 E 12th St,4.5,191,https://www.yelp.com/biz/sauce-pizzeria-new-york-4?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ
