,Name,Rating,Review Count,Street Address,Zip Code,Url,Latitude,Longitude
0,Renegades of Sunset,5.0,33,254 36th St,11232,https://www.yelp.com/biz/renegades-of-sunset-brooklyn?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.655908,-74.007526
1,General Store by Char Sue,4.5,180,119 Essex St,10002,https://www.yelp.com/biz/general-store-by-char-sue-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.719625,-73.9879152551293
2,A&A Bake and Double and Roti Shop,4.5,228,1337 Fulton St,11216,https://www.yelp.com/biz/a-and-a-bake-and-double-and-roti-shop-brooklyn-3?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.68043,-73.94795
3,Pabade Cafe and Bakery,5.0,29,135 East 110 St,10029,https://www.yelp.com/biz/pabade-cafe-and-bakery-new-york-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.79506,-73.94474
4,Awesum Dimsum,5.0,29,160 E 23rd St,10010,https://www.yelp.com/biz/awesum-dimsum-new-york-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.73887,-73.98366
5,Hole In The Wall,4.5,566,15 Cliff St,10038,https://www.yelp.com/biz/hole-in-the-wall-new-york-2?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.70837,-74.00563
6,Chez Nick,5.0,29,1737 York Ave,10128,https://www.yelp.com/biz/chez-nick-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.779014,-73.945238
7,The Brazen Tavern,4.5,384,356 W 44th St,10036,https://www.yelp.com/biz/the-brazen-tavern-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7593269348145,-73.9913101196289
8,Nonnas 1977,4.5,82,41-02 Astoria Blvd,11103,https://www.yelp.com/biz/nonnas-1977-astoria?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.76851,-73.90997
9,Douska,4.5,76,63 Delancey St,10002,https://www.yelp.com/biz/douska-new-york?adjust_creative=oMZNkvugSz1zY7aTmCD3ZQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=oMZNkvugSz1zY7aTmCD3ZQ,40.7191369,-73.9908998
